,sents
4541,"I invited him some time ago when you were ill, Casaubon; Dorothea said you couldn’t have anybody in the house, you know, and she asked me to write.”  Poor Dorothea felt that every word of her uncle’s was about as pleasant as a grain of sand in the eye to Mr. Casaubon."
4542,It would be altogether unfitting now to explain that she had not wished her uncle to invite Will Ladislaw.
4543,She could not in the least make clear to herself the reasons for her husband’s dislike to his presence—a dislike painfully impressed on her by the scene in the library; but she felt the unbecomingness of saying anything that might convey a notion of it to others.
4544,"Mr. Casaubon, indeed, had not thoroughly represented those mixed reasons to himself; irritated feeling with him, as with all of us, seeking rather for justification than for self-knowledge."
4545,"But he wished to repress outward signs, and only Dorothea could discern the changes in her husband’s face before he observed with more of dignified bending and sing-song than usual—  “You are exceedingly hospitable, my dear sir; and I owe you acknowledgments for exercising your hospitality towards a relative of mine.”  The funeral was ended now, and the churchyard was being cleared."
4546,"“Now you can see him, Mrs. Cadwallader,” said Celia."
4547,"“He is just like a miniature of Mr. Casaubon’s aunt that hangs in Dorothea’s boudoir—quite nice-looking.”  “A very pretty sprig,” said Mrs. Cadwallader, dryly."
4548,"“What is your nephew to be, Mr. Casaubon?”  “Pardon me, he is not my nephew."
4549,"He is my cousin.”  “Well, you know,” interposed Mr. Brooke, “he is trying his wings."
4550,He is just the sort of young fellow to rise.
4551,I should be glad to give him an opportunity.
4552,"He would make a good secretary, now, like Hobbes, Milton, Swift—that sort of man.”  “I understand,” said Mrs. Cadwallader."
4553,"“One who can write speeches.”  “I’ll fetch him in now, eh, Casaubon?” said Mr. Brooke."
4554,"“He wouldn’t come in till I had announced him, you know."
4555,And we’ll go down and look at the picture.
4556,"There you are to the life: a deep subtle sort of thinker with his fore-finger on the page, while Saint Bonaventure or somebody else, rather fat and florid, is looking up at the Trinity."
4557,"Everything is symbolical, you know—the higher style of art: I like that up to a certain point, but not too far—it’s rather straining to keep up with, you know."
4558,"But you are at home in that, Casaubon."
4559,"And your painter’s flesh is good—solidity, transparency, everything of that sort."
4560,I went into that a great deal at one time.
4561,"However, I’ll go and fetch Ladislaw.”"
4562," “Non, je ne comprends pas de plus charmant plaisir Que de voir d’héritiers une troupe affligée Le maintien interdit, et la mine allongée, Lire un long testament où pales, étonnés On leur laisse un bonsoir avec un pied de nez."
4563,"Pour voir au naturel leur tristesse profonde Je reviendrais, je crois, exprès de l’autre monde.” —REGNARD: Le Légataire Universel."
4564,"When the animals entered the Ark in pairs, one may imagine that allied species made much private remark on each other, and were tempted to think that so many forms feeding on the same store of fodder were eminently superfluous, as tending to diminish the rations."
4565,"(I fear the part played by the vultures on that occasion would be too painful for art to represent, those birds being disadvantageously naked about the gullet, and apparently without rites and ceremonies.)"
4566,The same sort of temptation befell the Christian Carnivora who formed Peter Featherstone’s funeral procession; most of them having their minds bent on a limited store which each would have liked to get the most of.
4567,"The long-recognized blood-relations and connections by marriage made already a goodly number, which, multiplied by possibilities, presented a fine range for jealous conjecture and pathetic hopefulness."
4568,"Jealousy of the Vincys had created a fellowship in hostility among all persons of the Featherstone blood, so that in the absence of any decided indication that one of themselves was to have more than the rest, the dread lest that long-legged Fred Vincy should have the land was necessarily dominant, though it left abundant feeling and leisure for vaguer jealousies, such as were entertained towards Mary Garth."
4569,"Solomon found time to reflect that Jonah was undeserving, and Jonah to abuse Solomon as greedy; Jane, the elder sister, held that Martha’s children ought not to expect so much as the young Waules; and Martha, more lax on the subject of primogeniture, was sorry to think that Jane was so “having.” These nearest of kin were naturally impressed with the unreasonableness of expectations in cousins and second cousins, and used their arithmetic in reckoning the large sums that small legacies might mount to, if there were too many of them."
